date;conta;valor;tp_conta
2020-12-01;cota_parte_do_icms;2,34333922607841e+09;
2018-12-01;cota_parte_do_icms;2,35317134910213e+09;
2020-04-01;demais_transferencias;2,45996026904557e+09;
2018-08-01;transferencias_do_fundeb;2,46725391250152e+09;
2019-12-01;cota_parte_do_icms;2,48498465867614e+09;
2020-06-01;transferencias_do_fundeb;2,54366962698207e+09;
2018-10-01;receitas_tributarias;2,57341304657682e+09;
2019-06-01;demais_transferencias;2,59049104392297e+09;
2020-08-01;cota_parte_do_fpm;2,64238407874680e+09;
2020-10-01;receitas_tributarias;2,65385909226112e+09;
2018-08-01;cota_parte_do_fpm;2,79315758877622e+09;
2019-10-01;receitas_tributarias;2,81214860579713e+09;
2019-06-01;transferencias_do_fundeb;2,81279749967871e+09;
2019-08-01;cota_parte_do_fpm;2,88800316988000e+09;
2018-10-01;transferencias_do_fundeb;2,92210430852489e+09;
2018-02-01;transferencias_correntes;2,99174798996554e+09;
2020-10-01;cota_parte_do_fpm;3,07833058243026e+09;
2018-12-01;receitas_tributarias;3,16868964040276e+09;
2019-02-01;transferencias_correntes;3,18847007496822e+09;
2020-12-01;receitas_tributarias;3,26018172677352e+09;
2020-08-01;transferencias_do_fundeb;3,27225849075177e+09;
2018-10-01;cota_parte_do_fpm;3,27848875880669e+09;
2019-12-01;receitas_tributarias;3,39264776074663e+09;
2018-06-01;demais_transferencias;3,39825496033059e+09;
2019-10-01;cota_parte_do_fpm;3,41286077203535e+09;
2021-02-01;transferencias_correntes;3,46179130280992e+09;
2020-02-01;transferencias_correntes;3,49728796529846e+09;
2019-08-01;transferencias_do_fundeb;3,55229010033766e+09;
2018-12-01;transferencias_do_fundeb;3,61433660006890e+09;
2019-08-01;demais_transferencias;3,73077184272068e+09;
2020-12-01;cota_parte_do_fpm;3,82946090971637e+09;
2020-06-01;demais_transferencias;3,92276398485268e+09;
2020-10-01;transferencias_do_fundeb;3,92808189336677e+09;
2018-02-01;receitas_correntes;3,93571993247104e+09;
2018-12-01;cota_parte_do_fpm;4,14354459884897e+09;
2019-02-01;receitas_correntes;4,22572991309207e+09;
2019-12-01;cota_parte_do_fpm;4,30110031336774e+09;
2019-10-01;transferencias_do_fundeb;4,31399101735752e+09;
2018-08-01;demais_transferencias;4,36254218157874e+09;
2021-02-01;receitas_correntes;4,41051519163700e+09;
2020-02-01;receitas_correntes;4,48816240098286e+09;
2019-10-01;demais_transferencias;4,54459405587100e+09;
2020-12-01;transferencias_do_fundeb;4,62659546313448e+09;
2019-12-01;transferencias_do_fundeb;5,12135528939977e+09;
2018-10-01;demais_transferencias;5,51012297469730e+09;
2018-04-01;transferencias_correntes;5,57806951248553e+09;
2019-12-01;demais_transferencias;5,84974976195879e+09;
2020-08-01;demais_transferencias;5,88026899099271e+09;
2019-04-01;transferencias_correntes;5,96209424189554e+09;
2020-04-01;transferencias_correntes;6,47113422663728e+09;
2021-04-01;transferencias_correntes;6,51527874369000e+09;
2018-12-01;demais_transferencias;6,74526252590829e+09;
2020-10-01;demais_transferencias;7,11393432645150e+09;
2018-04-01;receitas_correntes;7,49707418563265e+09;
2019-04-01;receitas_correntes;7,82790868554436e+09;
2020-12-01;demais_transferencias;7,82975766288766e+09;
2020-04-01;receitas_correntes;8,15986638132826e+09;
2021-04-01;receitas_correntes;8,25781275913000e+09;
2018-06-01;transferencias_correntes;8,54308013196650e+09;
2019-06-01;transferencias_correntes;8,71562790351556e+09;
2020-06-01;transferencias_correntes;9,47828284342376e+09;
