date;cod_ibge;Executivo;Legislativo;total
2018-12-01;2304103;46,61;;
2019-04-01;2304103;46,49;2,11;48,60
2019-08-01;2304103;35,89;1,56;37,45
2019-12-01;2304103;37,20;1,52;38,72
2020-04-01;2304103;39,35;1,52;40,87
2020-08-01;2304103;48,84;1,85;50,69
2020-12-01;2304103;43,94;1,74;45,68
2021-04-01;2304103;41,36;2,32;43,68
2018-04-01;2304202;52,96;2,18;55,14
2018-08-01;2304202;52,16;2,13;54,29
2018-12-01;2304202;50,00;2,05;52,05
2019-04-01;2304202;49,39;1,90;51,29
2019-08-01;2304202;49,28;1,97;51,25
2019-12-01;2304202;50,01;1,65;51,66
2020-04-01;2304202;51,06;1,68;52,74
2020-08-01;2304202;48,83;1,63;50,46
2020-12-01;2304202;49,72;1,70;51,42
2021-04-01;2304202;48,25;1,65;49,90
2018-04-01;2304236;59,74;2,87;62,61
2018-08-01;2304236;54,35;3,59;57,94
2018-12-01;2304236;53,19;2,92;56,11
2019-04-01;2304236;50,12;2,75;52,87
2019-08-01;2304236;52,17;2,82;54,99
2019-12-01;2304236;52,36;2,68;55,04
2020-04-01;2304236;51,15;2,56;53,71
2020-08-01;2304236;49,25;2,57;51,82
2020-12-01;2304236;53,58;2,66;56,24
2021-04-01;2304236;50,70;2,39;53,09
2018-04-01;2304251;52,93;2,27;55,20
2018-08-01;2304251;52,21;2,22;54,43
2018-12-01;2304251;53,87;2,22;56,09
2019-04-01;2304251;54,19;54,19;108,38
2019-08-01;2304251;53,87;2,16;56,03
2019-12-01;2304251;52,77;1,99;54,76
2020-04-01;2304251;53,52;1,99;55,51
2020-08-01;2304251;54,19;1,88;56,07
2020-12-01;2304251;53,58;1,95;55,53
2021-04-01;2304251;53,14;1,92;55,06
2018-04-01;2304269;52,38;3,24;55,62
2018-08-01;2304269;52,11;0,03;52,14
2018-12-01;2304269;54,95;3,26;58,21
2019-04-01;2304269;54,55;3,15;57,70
2019-08-01;2304269;53,35;3,18;56,53
2019-12-01;2304269;51,45;3,14;54,59
2020-04-01;2304269;52,66;3,14;55,80
2020-08-01;2304269;51,38;2,98;54,36
2020-12-01;2304269;53,38;2,97;56,35
2021-04-01;2304269;52,26;2,93;55,19
2018-04-01;2304277;52,92;3,65;56,57
2018-08-01;2304277;53,17;3,27;56,44
